well,fov,resolution_x,resolution_y,center_x,center_y
B12,7,0.14949402023919042,0.14949402023919042,34425.93040110395,2014.1328546458142
B12,8,0.14949402023919042,0.14949402023919042,34732.691401103955,2014.1328546458142
B12,9,0.14949402023919042,0.14949402023919042,35039.45340110395,2014.1328546458142
B12,10,0.14949402023919042,0.14949402023919042,35039.45340110395,2320.894854645814
B12,11,0.14949402023919042,0.14949402023919042,34732.691401103955,2320.894854645814
B12,12,0.14949402023919042,0.14949402023919042,34425.93040110395,2320.894854645814
B12,13,0.14949402023919042,0.14949402023919042,34119.168401103954,2320.894854645814
B12,14,0.14949402023919042,0.14949402023919042,33812.40640110395,2320.894854645814
B12,15,0.14949402023919042,0.14949402023919042,33505.64440110396,2320.894854645814
B12,16,0.14949402023919042,0.14949402023919042,33198.88340110395,2320.894854645814
