image_name,channel,plate,row,column,time,plane,resolution_x,resolution_y,resolution_z,center_x,center_y,center_z,fov
p1_wF14_t1_m5_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,39988.00411039558,14365.328273229072,0.0,p1_wF14_t1_m5
p1_wF14_t1_m6_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14365.328273229072,0.0,p1_wF14_t1_m6
p1_wF14_t1_m6_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14365.328273229072,0.0,p1_wF14_t1_m6
p1_wF14_t1_m6_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14365.328273229072,0.0,p1_wF14_t1_m6
p1_wF14_t1_m6_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14365.328273229072,0.0,p1_wF14_t1_m6
p1_wF14_t1_m6_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14365.328273229072,0.0,p1_wF14_t1_m6
p1_wF14_t1_m7_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14365.328273229072,0.0,p1_wF14_t1_m7
p1_wF14_t1_m7_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14365.328273229072,0.0,p1_wF14_t1_m7
p1_wF14_t1_m7_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14365.328273229072,0.0,p1_wF14_t1_m7
p1_wF14_t1_m7_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14365.328273229072,0.0,p1_wF14_t1_m7
p1_wF14_t1_m7_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14365.328273229072,0.0,p1_wF14_t1_m7
p1_wF14_t1_m8_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14365.328273229072,0.0,p1_wF14_t1_m8
