donor,well,fov,id,umap_x,umap_y
AML1_M2,J2,148,19,-0.9805901,-1.2780507
AML1_M2,B2,115,7,-1.6123407,5.603599
AML1_M2,B2,192,30,3.197454,0.05602533
AML1_M2,J2,126,1,-1.2624124,7.962049
AML1_M2,H2,182,12,0.029149728,3.8113613
AML1_M2,J2,126,20,-2.2722273,5.247012
AML1_M2,B2,90,6,-1.9301262,5.7113423
AML1_M2,D2,67,15,-0.46494877,9.057987
AML1_M2,B2,17,20,3.4400089,-0.7964568
AML1_M2,D2,212,7,-2.7759902,5.647588
AML1_M2,B2,143,16,-2.6361797,5.8028297
AML1_M2,H2,68,1,0.50631773,5.888611
AML1_M2,B2,70,9,-1.6481247,3.455419
AML1_M2,D2,62,15,-1.89873,5.3226814
AML1_M2,J2,50,23,-0.20788023,0.7287927
AML1_M2,J2,240,10,-2.074425,5.860822
AML1_M2,F2,49,8,-1.158446,5.22692
AML1_M2,B2,228,4,-1.4861141,4.93892
AML1_M2,F2,179,5,-2.3686523,5.5222645
AML1_M2,D2,133,6,-1.8170756,6.3395433
AML1_M2,H2,209,5,-1.8236927,5.792272
AML1_M2,D2,144,5,-1.8594491,6.259602
AML1_M2,D2,240,6,0.5570179,5.749318
AML1_M2,D2,90,13,-0.77700084,-0.50046355
AML1_M2,J2,121,1,-0.55711436,6.499596
AML1_M2,F2,123,1,-1.836265,5.8324084
AML1_M2,B2,194,31,-1.8680891,5.5663567
AML1_M2,B2,156,15,1.872842,1.901138
AML1_M2,F2,220,9,-2.1603665,5.635521
AML1_M2,B2,86,21,-1.9345015,5.4679437
AML1_M2,H2,171,9,-1.009131,6.0132685
AML1_M2,H2,5,7,0.35701212,2.9207191
AML1_M2,F2,54,18,-0.7796192,5.0186033
AML1_M2,D2,62,18,-1.5535835,-1.0143218
AML1_M2,F2,33,5,3.0908241,7.342394
AML1_M2,J2,215,7,1.534655,1.9394718
AML1_M2,H2,119,11,-1.6220673,5.73546
AML1_M2,D2,16,15,-0.74828213,6.0348125
AML1_M2,J2,121,13,3.0934787,7.513202
AML1_M2,D2,180,3,-2.593285,5.690409
AML1_M2,F2,146,11,-1.9042691,5.3413205
AML1_M2,F2,122,21,3.3447254,-0.43080914
AML1_M2,D2,60,13,-1.6422858,5.248122
