donor,well,fov,id,umap_x,umap_y,NUCLEUS METCENTER-X,NUCLEUS METCENTER-Y
AML1_M2,F2,8,9,-1.8875599,5.3616796,3247.3974609375,15370.0390625
AML1_M2,B2,16,12,3.0412674,7.4630947,2435.5986328125,2064.70068359375
AML1_M2,H2,239,7,-1.4628264,4.2718487,3389.765625,22818.21484375
AML1_M2,B2,211,25,-1.710276,3.6556077,2776.65283203125,3889.578125
AML1_M2,B2,139,34,3.0832577,-0.52710086,2201.203125,3320.291259765625
AML1_M2,B2,94,15,-0.024444032,3.7305887,3591.370361328125,2602.617431640625
AML1_M2,J2,211,2,-2.951766,5.8712764,2781.203369140625,28606.029296875
AML1_M2,H2,122,2,-1.2737924,5.9272842,2646.436279296875,21454.92578125
AML1_M2,B2,114,15,-1.6006868,5.5083456,3588.925537109375,2858.114501953125
AML1_M2,B2,228,9,-0.9889406,-2.2582479,4171.87353515625,3974.85400390625
AML1_M2,J2,95,5,-0.69621617,5.124643,3529.307861328125,27425.212890625
AML1_M2,F2,227,6,-0.59713835,5.74035,4074.78515625,16275.9091796875
AML1_M2,D2,133,1,-2.4726968,5.951725,1990.980712890625,9322.7861328125
AML1_M2,B2,175,2,1.9495208,2.1317823,3496.368896484375,3549.47412109375
AML1_M2,D2,146,2,-0.37206465,6.1531997,2947.958984375,9380.4306640625
AML1_M2,F2,171,3,-2.058278,3.791917,3696.4189453125,16011.0546875
AML1_M2,D2,5,12,6.637843,5.0185785,3148.9296875,9031.7578125
AML1_M2,F2,229,7,0.15014929,6.2918773,4155.4365234375,16480.916015625
AML1_M2,H2,60,7,-1.7724446,5.3780913,3082.0244140625,20973.0546875
AML1_M2,B2,77,19,-1.769006,5.348222,2182.85791015625,2563.396728515625
AML1_M2,H2,120,12,-0.91402835,7.4408584,3002.993408203125,21464.603515625
AML1_M2,B2,189,8,-2.7280917,5.648835,2188.70166015625,3501.91064453125
AML1_M2,D2,134,20,-2.513808,5.8180423,2159.52099609375,9367.744140625
AML1_M2,D2,78,15,0.059800804,6.0647373,2375.29248046875,8777.7333984375
AML1_M2,H2,248,7,-2.371808,5.6844854,2958.76025390625,22701.4765625
AML1_M2,B2,194,36,-1.5087129,6.036787,2092.79248046875,3467.935791015625
AML1_M2,J2,45,7,-0.77665675,5.84779,3775.9794921875,26946.091796875
AML1_M2,D2,241,10,-2.3820298,5.863137,3193.9951171875,10292.4345703125
AML1_M2,F2,99,16,-1.5119903,2.0856016,3760.8505859375,15000.1591796875
AML1_M2,B2,21,15,2.1396928,8.059293,2918.36962890625,1979.1314697265625
AML1_M2,J2,99,3,-1.1924304,3.9828682,3809.91455078125,27333.140625
AML1_M2,B2,215,2,-2.5407407,5.5318675,3119.814453125,3967.301513671875
AML1_M2,D2,214,3,1.3550183,2.3711038,3399.821044921875,9993.0859375
AML1_M2,H2,162,12,3.5822833,-1.2385843,4203.28515625,21702.54296875
AML1_M2,J2,90,11,-1.5498929,4.9544477,3306.18505859375,27274.470703125
AML1_M2,J2,175,6,-2.17244,5.7211943,3539.735595703125,28361.70703125
AML1_M2,F2,175,11,-1.5584005,5.43944,3508.838623046875,15960.078125
AML1_M2,D2,157,5,-1.8145345,5.431249,3744.0068359375,9273.609375
AML1_M2,F2,64,18,-0.99715394,5.2891226,2754.588623046875,14776.11328125
AML1_M2,F2,131,18,3.3449984,0.24944033,1919.4073486328125,15392.90234375
AML1_M2,F2,87,16,-1.2393811,5.288126,2869.1083984375,15047.642578125
AML1_M2,B2,70,20,-1.6307985,5.5521436,2048.5361328125,2186.610107421875
AML1_M2,H2,233,18,1.5526651,0.36560935,3783.306640625,22528.990234375
AML1_M2,F2,90,13,0.05695346,3.7539093,3381.201171875,14915.5263671875
AML1_M2,J2,151,8,-2.4654875,5.6795607,3196.588623046875,28079.4296875
AML1_M2,D2,139,11,-2.6644337,5.7489805,2262.597412109375,9499.759765625
AML1_M2,H2,63,4,0.49345857,5.724164,2472.825439453125,20877.33984375
AML1_M2,F2,136,10,2.6718142,1.7089919,2123.5986328125,15752.5244140625
AML1_M2,B2,145,10,-2.743188,5.841352,2828.771728515625,3106.960205078125
AML1_M2,B2,138,38,-2.6731653,5.591178,2460.21533203125,3191.387451171875
AML1_M2,B2,8,17,-1.2717322,6.9106994,3350.9794921875,3034.807861328125
AML1_M2,B2,103,7,-1.2435313,5.808473,4006.365966796875,2755.885498046875
AML1_M2,F2,43,7,0.054555316,6.2370977,4003.84375,14702.5703125
AML1_M2,D2,53,27,-1.4713662,-0.76172745,3230.293212890625,8453.97265625
AML1_M2,B2,104,36,3.6586292,-1.0069617,4184.71484375,2706.2529296875
AML1_M2,J2,57,13,0.088226214,2.411382,2931.218017578125,26903.396484375
AML1_M2,J2,148,13,-2.7040625,5.818828,2942.165283203125,28057.154296875
AML1_M2,F2,202,12,-0.29470152,-0.092842415,2394.609619140625,16050.6982421875
AML1_M2,F2,213,11,-2.4559898,5.4531717,3098.13818359375,16147.857421875
AML1_M2,J2,20,6,-2.0010278,4.383935,2705.412353515625,26772.08203125
AML1_M2,H2,14,3,-1.1647258,5.6098485,2413.20166015625,20397.236328125
AML1_M2,B2,167,25,3.500261,-1.1767293,4046.00634765625,3605.52880859375
AML1_M2,H2,210,9,-1.6727626,6.046957,2989.473876953125,22285.55078125
AML1_M2,J2,168,28,-1.1277522,5.130261,4251.65869140625,28362.08203125
AML1_M2,B2,64,1,-1.4116945,5.623879,2780.7236328125,2401.081787109375
AML1_M2,D2,58,20,-1.4463633,8.1199875,3023.842041015625,8439.02734375
AML1_M2,D2,245,7,1.0354267,2.5036576,2788.0107421875,10333.9052734375
AML1_M2,D2,191,21,-1.8331013,4.84109,2255.909912109375,9753.830078125
AML1_M2,D2,209,4,-2.6077948,5.691626,2893.259521484375,10005.7890625
AML1_M2,H2,123,7,2.594558,2.0919545,2549.665771484375,21462.490234375
AML1_M2,F2,228,15,1.2944179,2.26263,4163.986328125,16342.708984375
AML1_M2,B2,127,5,0.7651401,8.476145,2280.282470703125,2989.060791015625
AML1_M2,B2,136,31,-2.8329332,5.7101994,2128.583984375,3285.313720703125
AML1_M2,H2,79,4,-1.5859934,6.1002526,2236.561767578125,21287.25390625
AML1_M2,B2,15,25,-0.58772606,-2.6833215,2314.634521484375,2115.144775390625
AML1_M2,B2,156,1,-0.4788348,5.692459,3568.68115234375,3246.625
AML1_M2,D2,159,8,-2.0049577,5.56343,3772.20068359375,9502.51953125
AML1_M2,J2,50,12,0.6909814,5.6223702,3665.245361328125,26876.1015625
AML1_M2,F2,64,7,3.5093238,9.374348,2748.0830078125,14757.3310546875
AML1_M2,J2,204,2,-2.29427,5.3494964,2382.947509765625,28611.98046875
AML1_M2,F2,183,17,-1.7122397,8.687487,2796.41015625,15957.7626953125
AML1_M2,F2,229,12,2.4700282,6.957221,4148.72021484375,16488.537109375
AML1_M2,D2,46,23,-0.4483257,5.6481633,3873.1640625,8357.31640625
AML1_M2,D2,58,13,-1.3350381,5.4988804,2983.36962890625,8421.0068359375
AML1_M2,F2,112,15,-0.84728557,5.32114,3951.1142578125,15309.044921875
AML1_M2,F2,131,2,-0.2945506,5.948277,1973.7105712890625,15302.6865234375
AML1_M2,B2,164,3,-1.1735675,5.4355507,4285.0947265625,3293.77685546875
AML1_M2,F2,199,1,-0.2111854,5.2952976,2008.6990966796875,16260.9833984375
AML1_M2,J2,126,8,-2.8360326,5.768084,2358.013671875,27564.404296875
AML1_M2,H2,109,4,1.5290091,0.53912616,3763.157470703125,21301.861328125
AML1_M2,D2,230,14,-1.2794284,5.5622106,4226.24755859375,10278.666015625
AML1_M2,B2,73,8,1.204495,5.6793423,1924.759521484375,2477.466552734375
AML1_M2,B2,139,33,-2.6248493,5.712263,2264.8193359375,3378.640869140625
AML1_M2,B2,149,25,0.09675874,2.8552356,3182.805419921875,3126.001220703125
AML1_M2,J2,177,5,-2.4261897,5.750002,3168.259033203125,28120.037109375
AML1_M2,F2,152,5,-2.269521,5.5826626,3324.27685546875,15600.591796875
AML1_M2,B2,185,13,-1.9486161,5.167476,2503.926513671875,3412.94140625
AML1_M2,J2,137,9,-2.8937476,5.840598,2286.822998046875,27905.654296875
AML1_M2,B2,126,30,2.3358314,1.8868312,2322.27490234375,2788.171142578125
AML1_M2,J2,148,19,-0.9805901,-1.2780507,2954.625732421875,28064.65625
AML1_M2,B2,115,7,-1.6123407,5.603599,3419.6826171875,2948.044189453125
AML1_M2,B2,192,30,3.197454,0.05602533,2396.49169921875,3607.2880859375
AML1_M2,J2,126,1,-1.2624124,7.962049,2424.8291015625,27541.0703125
AML1_M2,H2,182,12,0.029149728,3.8113613,2941.92236328125,22029.27734375
AML1_M2,J2,126,20,-2.2722273,5.247012,2355.21435546875,27491.583984375
AML1_M2,B2,90,6,-1.9301262,5.7113423,3272.046875,2514.53564453125
AML1_M2,D2,67,15,-0.46494877,9.057987,2281.347900390625,8521.5654296875
AML1_M2,B2,17,20,3.4400089,-0.7964568,2491.300537109375,1925.917236328125
AML1_M2,D2,212,7,-2.7759902,5.647588,3086.431640625,10119.26171875
AML1_M2,B2,143,16,-2.6361797,5.8028297,2487.251220703125,3351.30322265625
AML1_M2,H2,68,1,0.50631773,5.888611,2473.09619140625,20877.33984375
AML1_M2,B2,70,9,-1.6481247,3.455419,2172.09033203125,2277.799072265625
AML1_M2,D2,62,15,-1.89873,5.3226814,2673.36083984375,8403.853515625
AML1_M2,J2,50,23,-0.20788023,0.7287927,3626.027099609375,26932.828125
AML1_M2,J2,240,10,-2.074425,5.860822,3630.2265625,28902.01171875
AML1_M2,F2,49,8,-1.158446,5.22692,3437.841796875,14646.220703125
AML1_M2,B2,228,4,-1.4861141,4.93892,4187.0458984375,3935.020263671875
AML1_M2,F2,179,5,-2.3686523,5.5222645,3146.895263671875,15987.7431640625
AML1_M2,D2,133,6,-1.8170756,6.3395433,1979.9405517578125,9279.326171875
AML1_M2,H2,209,5,-1.8236927,5.792272,2847.34130859375,22296.568359375
AML1_M2,D2,144,5,-1.8594491,6.259602,2784.7470703125,9548.83203125
AML1_M2,D2,240,6,0.5570179,5.749318,3641.67822265625,10477.951171875
AML1_M2,D2,90,13,-0.77700084,-0.50046355,3370.61181640625,8683.259765625
AML1_M2,J2,121,1,-0.55711436,6.499596,2622.085693359375,27620.548828125
AML1_M2,F2,123,1,-1.836265,5.8324084,2484.324951171875,15370.8623046875
AML1_M2,B2,194,31,-1.8680891,5.5663567,2100.785400390625,3469.90380859375
AML1_M2,B2,156,15,1.872842,1.901138,3549.491455078125,3246.3876953125
AML1_M2,F2,220,9,-2.1603665,5.635521,3587.4794921875,16269.9169921875
AML1_M2,B2,86,21,-1.9345015,5.4679437,3022.101318359375,2605.888916015625
AML1_M2,H2,171,9,-1.009131,6.0132685,3818.781494140625,22099.45703125
AML1_M2,H2,5,7,0.35701212,2.9207191,3216.627685546875,21302.669921875
AML1_M2,F2,54,18,-0.7796192,5.0186033,3376.82861328125,14590.419921875
AML1_M2,D2,62,18,-1.5535835,-1.0143218,2652.94580078125,8413.056640625
AML1_M2,F2,33,5,3.0908241,7.342394,3824.706298828125,14296.509765625
AML1_M2,J2,215,7,1.534655,1.9394718,3166.33740234375,28559.11328125
AML1_M2,H2,119,11,-1.6220673,5.73546,2858.564453125,21542.419921875
AML1_M2,D2,16,15,-0.74828213,6.0348125,2363.8515625,8211.3466796875
AML1_M2,J2,121,13,3.0934787,7.513202,2582.30224609375,27494.96875
AML1_M2,D2,180,3,-2.593285,5.690409,3342.4755859375,9840.724609375
AML1_M2,F2,146,11,-1.9042691,5.3413205,3030.917236328125,15468.369140625
AML1_M2,F2,122,21,3.3447254,-0.43080914,2702.56982421875,15258.4228515625
AML1_M2,D2,60,13,-1.6422858,5.248122,3023.64697265625,8516.734375
AML1_M2,D2,158,11,1.5846438,1.7590753,3856.29443359375,9395.1396484375
AML1_M2,D2,238,11,-0.14059724,6.1027613,3585.5546875,10209.634765625
AML1_M2,D2,42,3,0.43986395,6.0262303,4215.57666015625,8467.064453125
AML1_M2,D2,218,10,6.9517236,4.3222914,3623.29150390625,9931.8515625
AML1_M2,B2,63,9,-1.2337644,5.4361544,2594.640380859375,2369.240478515625
AML1_M2,F2,213,18,-2.6139598,5.687177,3140.331787109375,16182.857421875
AML1_M2,B2,139,24,-1.9534197,6.0743957,2218.745849609375,3391.051513671875
AML1_M2,J2,32,1,0.4197752,5.8956404,3665.692138671875,26874.630859375
AML1_M2,B2,92,6,0.76400876,4.8217936,3368.361328125,2647.227783203125
AML1_M2,F2,168,4,-1.175824,5.611332,4263.99072265625,15967.5947265625
AML1_M2,D2,220,10,-2.0952148,5.5884633,3656.507568359375,10120.3759765625
AML1_M2,B2,55,23,3.3663723,-1.1459501,3081.75146484375,2406.4833984375
