image_names,roi,umap_x,umap_y,image_path,AF488_imagepath,AF555_imagepath,AF647_imagepath,AF750_imagepath,DAPI_imagepath
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi058_108,roi058,13.796192,1.6316179,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi022_201,roi022,8.66061,-3.8122401,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi035_19,roi035,10.747137,6.97378,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi014_66,roi014,7.81091,1.1954381,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi001_145,roi001,9.11866,4.960322,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi063_253,roi063,-4.9473953,-0.044052847,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi023_9,roi023,10.109949,-3.8757575,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi044_63,roi044,-2.681777,-1.4105443,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi015_45,roi015,10.752497,7.1734905,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi005_215,roi005,13.290365,0.3697717,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
